,1,2,3,4,5,6,7,8
ALL,0.001178754,0.017680524,0.011023571,0.011419869,0.014702184,,,
DEMONS,0.002992961,0.003367617,0.003184925,0.001048864,0.00484987,,,
HABITS,0.004916691,0.006826652,0.0070495,0.005785654,0.011537584,,,
HALLELUJAH,0.002751217,0.015339752,0.014516009,0.012950583,0.011213929,,,
RAINBOW,0.003589794,0.015746588,0.016681566,0.014344467,0.010375066,,,
REASON,0.001174673,0.007497087,0.006046734,0.00490256,0.008463055,,,
ROYALS,0.000430422,0.011954097,0.007331614,0.007078551,0.010481133,,,
WAKE_ME_UP,0.000523432,0.012315705,0.007746412,0.007465956,0.011447046,,,
